West,Midwest,South,Northeast
WA,ND,TX,PA
OR,SD,OK,NJ
CA,NE,AR,NY
NV,KS,LA,CT
ID,MN,MS,MA
MT,IA,AL,VT
WY,MO,TN,NH
UT,WI,KY,ME
CO,IL,FL,
AZ,MI,GA,
NM,IN,SC,
HI,OH,NC,
AK,,VA,
,,WV,
,,MD,
,,DE,
,,DC,
